OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT,geom,in_ocean
50518,2018-01-02 00:33:10+00:00,Balaenoptera physalus,Fin Whale,5,34.109298,-119.545389,spotter_pro,15406,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137091,POINT (-119.545389 34.109298),,1
50476,2018-01-03 20:15:38+00:00,Eschrichtius robustus,Gray Whale,5,34.080773,-119.890908,spotter_pro,15383,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.890908 34.080773),,1
50502,2018-01-05 20:06:52+00:00,Balaenoptera physalus,Fin Whale,5,34.141884,-119.820232,spotter_pro,15400,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137091,POINT (-119.820232 34.141884),,1
50511,2018-01-05 23:41:52+00:00,Eschrichtius robustus,Gray Whale,5,34.050894,-119.524165,spotter_pro,15404,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.524165 34.050894),,1
50509,2018-01-06 00:12:10+00:00,Eschrichtius robustus,Gray Whale,5,36.631728,-121.958862,whale_alert,15403,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-121.958862 36.631728),,1
50570,2018-01-13 19:24:03+00:00,Megaptera novaeangliae,Humpback,5,36.711762,-121.904555,whale_alert,15452,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.904555 36.711762),,1
50634,2018-01-16 18:29:08+00:00,Eschrichtius robustus,Gray Whale,5,34.056935,-119.547914,whale_alert,15505,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.547914 34.056935),,1
50932,2018-01-16 18:29:08+00:00,Eschrichtius robustus,Gray Whale,5,34.056935,-119.547914,whale_alert,15681,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.547914 34.056935),,1
50820,2018-01-31 18:28:08+00:00,Eschrichtius robustus,Gray Whale,5,34.0201,-119.302309,whale_alert,15614,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.302309 34.0201),,1
50832,2018-01-31 23:19:05+00:00,Eschrichtius robustus,Gray Whale,5,33.967696,-119.426243,whale_alert,15625,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.426243 33.967696),,1
50877,2018-02-03 22:06:09+00:00,Eschrichtius robustus,Gray Whale,5,36.594142,-121.989757,whale_alert,15652,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-121.989757 36.594142),,1
50979,2018-02-10 20:46:13+00:00,Eschrichtius robustus,Gray Whale,5,34.054095,-119.702605,spotter_pro,15703,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.702605 34.054095),,1
50984,2018-02-10 20:46:13+00:00,Eschrichtius robustus,Gray Whale,5,34.054095,-119.702605,spotter_pro,15704,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.702605 34.054095),,1
51115,2018-02-23 19:18:21+00:00,Megaptera novaeangliae,Humpback,5,36.660093,-122.033132,whale_alert,15787,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-122.033132 36.660093),,1
51349,2018-03-11 17:06:00+00:00,Orcinus orca,Killer Whale (Orca),5,58.23198,-135.0558,whale_alert,15923,,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-135.0558 58.23198),,1
51372,2018-03-11 23:24:29+00:00,Eschrichtius robustus,Gray Whale,5,34.136255,-119.240556,whale_alert,15946,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.240556 34.136255),,1
51386,2018-03-14 21:31:14+00:00,Eschrichtius robustus,Gray Whale,5,36.665666,-121.98974,whale_alert,15960,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-121.98974 36.665666),,1
51404,2018-03-16 01:40:00+00:00,Orcinus orca,Killer Whale (Orca),5,58.11132,-134.97978,whale_alert,15970,,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-134.97978 58.11132),,1
51438,2018-03-19 19:38:00+00:00,Megaptera novaeangliae,Humpback,5,36.67642,-121.89175,whale_alert,15993,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.89175 36.67642),,1
51445,2018-03-19 19:49:14+00:00,Eschrichtius robustus,Gray Whale,5,34.345332,-119.76815,spotter_pro,15998,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.76815 34.345332),,1
51443,2018-03-19 20:24:59+00:00,Eschrichtius robustus,Gray Whale,5,34.352139,-119.81018,spotter_pro,15998,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.81018 34.352139),,1
